2009/09/18,3730,3900,3320,3870,1713800,3870
2009/09/24,3850,4050,3500,3550,1304500,3550
2009/09/25,3300,3450,3060,3100,453900,3100
2009/09/28,2950,3230,2875,3150,273300,3150
2009/09/29,3170,3250,3020,3060,208700,3060
2009/09/30,3060,3560,2980,3390,537100,3390
2009/10/01,3190,3370,3120,3270,382000,3270
2009/10/02,3180,3300,3120,3200,177500,3200
2009/10/05,3210,3340,2700,2740,394700,2740
2009/10/06,2740,2810,2480,2750,221000,2750
2009/10/07,2760,2850,2650,2660,140800,2660
2009/10/08,2675,2820,2560,2810,124100,2810
2009/10/09,2835,2970,2670,2830,144800,2830
2009/10/13,2765,2870,2700,2770,54500,2770
2009/10/14,2725,2750,2625,2630,62600,2630
2009/10/15,2620,2675,2595,2595,49400,2595
2009/10/16,2635,2715,2610,2655,45400,2655
2009/10/19,2645,2645,2570,2595,30200,2595
2009/10/20,2635,2745,2600,2745,59500,2745
2009/10/21,2770,2975,2675,2950,194700,2950
2009/10/22,2920,3030,2875,2900,102300,2900
2009/10/23,2870,3070,2800,2815,179800,2815
2009/10/26,2815,2985,2790,2960,71500,2960
2009/10/27,2990,3100,2930,3070,133500,3070
2009/10/28,3070,3150,2980,3120,110600,3120
2009/10/29,3030,3170,3000,3090,99600,3090
2009/10/30,3060,3100,2900,3020,84000,3020
2009/11/02,2930,2990,2895,2910,31500,2910
2009/11/04,2905,2935,2625,2735,62700,2735
2009/11/05,2750,2810,2655,2665,53600,2665
2009/11/06,2785,2785,2585,2615,53300,2615
2009/11/09,2615,2750,2610,2745,45300,2745
2009/11/10,2750,2810,2700,2700,38900,2700
2009/11/11,2690,2725,2550,2550,44900,2550
2009/11/12,2535,2580,2500,2510,27200,2510
2009/11/13,2520,2550,2125,2320,104700,2320
2009/11/16,2120,2150,1980,2035,90600,2035
2009/11/17,2115,2125,1853,1880,62300,1880
2009/11/18,1850,1880,1677,1850,122000,1850
2009/11/19,1820,1913,1700,1910,43000,1910
2009/11/20,1861,2210,1811,2210,87900,2210
2009/11/24,2050,2110,1959,2000,44000,2000
2009/11/25,1920,2230,1909,2200,58000,2200
2009/11/26,2160,2340,2120,2240,53100,2240
2009/11/27,2090,2175,1980,2000,35500,2000
2009/11/30,1975,2070,1930,1931,23400,1931
